user_id,match_ids
935,641;850;832;920;1003;632
737,422;74;31;971;860;364
1111,811;93;774;977;802;34
955,720;374;1086;272;112;445
105,450;363;1086;683;199;910
742,220;155;126;184;684;314
684,381;363;226;94;742;1023
466,626;585;253;353;349;37
570,1017;1015;998;1049;1094;1149
971,142;356;31;737;364;140
1101,1065;157;130;722;1103;1003
865,172;346;139;1001;439;1089
957,220;746;427;697;792;67
948,455;1127;927;979;34;1068
436,339;439;912;268;338;521
1072,408;1013;728;966;302;188
268,714;621;620;436;338;996
134,815;641;130;1153;925;915
100,1008;1007;917;95;883;98
1023,515;683;94;659;684;521
802,479;519;811;791;774;1111
860,231;467;735;541;131;737
301,327;124;689;664;47;545
578,3;655;662;660;166;91
350,626;142;871;356;836;355
91,693;30;400;662;660;578
196,523;1147;94;762;1113;960
681,989;665;516;792;165;1094
738,152;601;189;177;310;1068
37,626;1020;253;505;669;466
1095,781;986;539;1080;255;259
1010,212;929;821;291;1108;1049
1116,337;1124;86;691;1120;1122
404,1140;781;385;259;912;638
364,937;976;74;31;874;971
524,282;646;463;111;505;206
358,711;370;322;541;131;140
563,746;1133;427;156;917;8
480,228;655;902;488;851;653
314,1033;945;855;253;742;50
67,667;482;221;1079;1094;957
206,646;667;1071;379;669;524
188,408;728;966;284;302;1072
338,346;855;718;621;436;268
269,888;1147;1007;883;1113;207
925,1076;1106;997;1153;216;134
536,542;1128;562;14;190;198
610,878;788;1076;361;997;61
489,836;283;23;379;915;465
872,343;1140;850;193;463;259
215,380;212;1087;88;126;213
197,1022;978;84;371;977;230
996,510;843;1098;361;942;579
943,1114;510;995;788;997;61
214,898;497;163;801;89;50
915,412;1106;1153;379;134;489
465,76;72;704;353;1107;489
573,888;520;57;1147;762;207
656,1098;1146;902;191;658;260
243,601;886;63;134;390;64
458,295;575;158;191;262;260
34,152;73;774;1111;948;738
543,483;637;312;389;638;594
910,1017;1015;450;621;387;105
715,714;519;194;367;31;802
819,148;1026;232;467;964;812
140,235;370;937;74;971;358
1068,152;815;641;333;791;738
521,339;646;439;385;436;1023
11,930;924;569;619;1085;419
675,714;903;485;463;531;505
390,886;273;637;312;830;243
373,375;735;722;827;41;528
682,617;1086;786;740;1077;215
594,981;179;155;279;496;765
61,510;878;995;788;361;943
50,585;858;283;801;314;214
64,788;485;637;249;63;243
631,963;1037;1039;722;457;579
701,798;381;941;1054;94;659
260,929;1124;772;1054;251;682
600,472;1065;818;184;312;1101
972,978;1037;1126;976;874;737
230,1022;232;84;409;1138;197
1149,1143;1054;445;661;909;955
420,930;924;619;579;419;11
217,1073;66;266;798;189;1134
245,343;841;528;336;8;531
642,905;84;423;875;872;230
305,334;1075;46;44;183;1049
765,1008;795;929;125;92;1120
98,1008;1024;1131;95;883;100
799,295;929;740;44;1138;912
294,1161;1033;14;391;664;457
160,1161;1128;1033;14;69;457
